time_s,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,ref1,ref2,ref3,temp1,temp2,temp3
1.400000,0.285153,0.366300,0.117949,0.197795,0.190476,1.639316,-0.311475,-0.630037,0.288889,0.310443,0.253709,-0.274791,32.0,35.0,31.0
1.410141,0.288586,0.327228,0.076923,0.200084,0.229548,1.639316,-0.317197,-0.630037,0.288889,0.313036,0.255745,-0.280523,32.0,35.0,31.0
1.420122,0.291257,0.327228,0.131624,0.202373,0.200244,1.642735,-0.323301,-0.727717,0.292308,0.315417,0.257787,-0.286365,32.0,35.0,31.0
1.430120,0.293927,0.366300,0.100855,0.205043,0.229548,1.615385,-0.328641,-0.581197,0.285470,0.317626,0.259871,-0.292415,32.0,35.0,31.0
1.440121,0.296216,0.278388,0.145299,0.207332,0.258852,1.574359,-0.335126,-0.688645,0.295726,0.319653,0.261992,-0.298665,32.0,35.0,31.0
1.450070,0.298123,0.170940,0.152137,0.210002,0.249084,1.632479,-0.341230,-0.659341,0.223932,0.321483,0.264137,-0.305079,32.0,35.0,31.0
1.460106,0.299649,0.034188,0.172650,0.212673,0.249084,1.570940,-0.347333,-0.610501,0.302564,0.323136,0.266337,-0.311746,32.0,35.0,31.0
1.470151,0.301175,0.131868,0.186325,0.215343,0.376068,1.523077,-0.354200,-0.766789,0.316239,0.324589,0.268573,-0.318616,32.0,35.0,31.0
1.480126,0.302319,0.151404,0.148718,0.217632,0.258852,1.598291,-0.361067,-0.678877,0.278632,0.325829,0.270826,-0.325630,32.0,35.0,31.0
1.490000,0.303464,0.131868,0.131624,0.219921,0.219780,1.574359,-0.367933,-0.727717,0.155556,0.326852,0.273087,-0.332760,32.0,35.0,31.0
1.500000,0.304227,0.024420,0.169231,0.221828,0.151404,1.639316,-0.374800,-0.766789,0.285470,0.327676,0.275407,-0.340166,32.0,35.0,31.0
1.510042,0.304990,0.112332,0.179487,0.224117,0.170940,1.663248,-0.382429,-0.854701,0.247863,0.328285,0.277765,-0.347789,32.0,35.0,31.0
1.520108,0.305371,0.102564,0.155556,0.226024,0.288156,1.652991,-0.389677,-0.688645,0.145299,0.328672,0.280155,-0.355611,32.0,35.0,31.0
1.530094,0.305753,0.073260,0.131624,0.227932,0.170940,1.687179,-0.397688,-0.825397,0.264957,0.328830,0.282550,-0.363547,32.0,35.0,31.0
1.540419,0.306134,0.024420,0.131624,0.229839,0.190476,1.683761,-0.406081,-0.844933,0.350427,0.328753,0.285050,-0.371931,32.0,35.0,31.0
1.550252,0.306134,0.112332,0.121368,0.231746,0.170940,1.779487,-0.414092,-0.825397,0.247863,0.328451,0.287450,-0.380078,32.0,35.0,31.0
1.560000,0.306516,0.063492,0.100855,0.233654,0.161172,1.673504,-0.422103,-0.971917,0.271795,0.327926,0.289845,-0.388308,32.0,35.0,31.0
1.570000,0.306134,-0.024420,0.087179,0.236324,0.307692,1.717949,-0.430495,-0.815629,0.182906,0.327154,0.292317,-0.396900,32.0,35.0,31.0
1.580242,0.306516,0.053724,0.073504,0.238613,0.190476,1.690598,-0.439269,-0.884005,0.302564,0.326114,0.294861,-0.405853,32.0,35.0,31.0
1.590164,0.306134,-0.014652,0.029060,0.241283,0.258852,1.591453,-0.448043,-0.864469,0.264957,0.324865,0.297335,-0.414665,32.0,35.0,31.0
1.600008,0.305753,-0.014652,0.029060,0.243572,0.161172,1.697436,-0.456817,-0.757021,0.179487,0.323389,0.299794,-0.423535,32.0,35.0,31.0
1.610054,0.305371,-0.102564,-0.011966,0.246624,0.249084,1.629060,-0.465972,-0.932845,0.237607,0.321638,0.302307,-0.432711,32.0,35.0,31.0
1.620129,0.304990,-0.053724,-0.008547,0.249294,0.366300,1.601709,-0.474746,-0.893773,0.227350,0.319632,0.304827,-0.442029,32.0,35.0,31.0
1.630239,0.303845,-0.024420,0.005128,0.252346,0.366300,1.591453,-0.483902,-0.952381,0.234188,0.317368,0.307352,-0.451489,32.0,35.0,31.0
1.640242,0.302701,-0.092796,-0.001709,0.255016,0.346764,1.673504,-0.493439,-0.971917,0.319658,0.314879,0.309842,-0.460946,32.0,35.0,31.0
1.650269,0.301175,-0.141636,-0.001709,0.257687,0.268620,1.591453,-0.502976,-1.020757,0.186325,0.312137,0.312328,-0.470513,32.0,35.0,31.0
1.660249,0.299649,-0.151404,-0.018803,0.260739,0.229548,1.550427,-0.512512,-1.108669,0.292308,0.309161,0.314788,-0.480111,32.0,35.0,31.0
